card_id,customer_id
C00259-K1,C00259
C06403-K2,C06403
C05876-K2,C05876
C13440-K2,C13440
C08945-K2,C08945
C11227-K2,C11227
C00732-K1,C00732
C03667-K1,C03667
C10112-K1,C10112
C03246-K1,C03246
C13259-K1,C13259
C07220-K1,C07220
C11464-K2,C11464
C01002-K1,C01002
C04597-K2,C04597
C03575-K2,C03575
C03651-K2,C03651
C06800-K1,C06800
C06208-K1,C06208
C11082-K1,C11082
C04265-K1,C04265
C07847-K2,C07847
C11309-K1,C11309
C06059-K2,C06059
C12311-K2,C12311
C08842-K2,C08842
C02999-K2,C02999
C07741-K2,C07741
C03277-K1,C03277
C04762-K1,C04762
C11923-K2,C11923
C09289-K1,C09289
C05704-K2,C05704
C03880-K1,C03880
C09196-K1,C09196
C03738-K2,C03738
C05996-K1,C05996
C02717-K1,C02717
C13061-K1,C13061
C08675-K1,C08675
C07648-K2,C07648
C12094-K2,C12094
C10164-K1,C10164
C06147-K2,C06147
C07212-K2,C07212
C01579-K1,C01579
C03108-K1,C03108
C01638-K1,C01638
C09221-K2,C09221
C05976-K1,C05976
C11595-K1,C11595
C02000-K2,C02000
C05736-K1,C05736
C04248-K2,C04248
C13171-K2,C13171
C12598-K2,C12598
C03412-K1,C03412
C09165-K2,C09165
C03348-K1,C03348
C03699-K1,C03699
C07867-K2,C07867
C11000-K2,C11000
C13005-K1,C13005
C03839-K1,C03839
C10167-K1,C10167
C11844-K2,C11844
C09076-K1,C09076
C01471-K1,C01471
C12166-K2,C12166
C13372-K1,C13372
C12111-K1,C12111
C11496-K2,C11496
C05385-K2,C05385
C05289-K2,C05289
C00978-K1,C00978
C07149-K2,C07149
C00938-K1,C00938
C06940-K1,C06940
C00621-K2,C00621
C04201-K1,C04201
C12900-K2,C12900
C10585-K2,C10585
C05307-K2,C05307
C11031-K2,C11031
C02477-K1,C02477
C09354-K1,C09354
C00854-K2,C00854
C08913-K2,C08913
C12517-K2,C12517
C07073-K1,C07073
C12987-K1,C12987
C09301-K2,C09301
C13001-K1,C13001
C06988-K1,C06988
C07508-K2,C07508
C06348-K1,C06348
C10326-K1,C10326
C08075-K1,C08075
C02573-K2,C02573
C08860-K1,C08860
C09933-K2,C09933
C09908-K1,C09908
C10308-K1,C10308
C11539-K2,C11539
C09885-K1,C09885
