device_id
Android 7.0 | chrome 62.0 for android
chrome 62.0
Windows 10 | chrome 62.0
android webview 4.0
iOS 11.1.2 | mobile safari 11.0
chrome generic
Mac OS X 10_13_1 | chrome 61.0
Mac OS X 10_13_1 | chrome 62.0
iOS 11.1.2 | mobile safari uiwebview
chrome 61.0
mobile safari generic
mobile safari 10.0
firefox 57.0
iOS 10.3.2 | mobile safari 10.0
mobile safari 11.0
iOS 10.0.2 | mobile safari 10.0
chrome 62.0 for ios
chrome 46.0 for android
Windows 10 | ie 11.0 for desktop
Windows 7 | chrome 62.0
iOS 10.3.3 | mobile safari 10.0
Android 6.0.1 | chrome 53.0 for android
Mac OS X 10_9_5 | safari generic
chrome 62.0 for android
Mac OS X 10_11_6 | safari generic
Windows 7 | ie 11.0 for desktop
Android 7.0 | samsung browser 6.2
iOS 11.1.2 | mobile safari generic
Mac OS X 10_12_6 | safari generic
Mac OS X 10_10_5 | safari generic
Windows Vista | chrome 49.0
Linux | chrome 59.0
Android 6.0 | chrome 62.0 for android
Mac OS X 10_11_6 | chrome 61.0
Android 6.0.1 | chrome 62.0 for android
iOS 11.1.0 | mobile safari 11.0
samsung browser 6.2
iOS 11.1.1 | mobile safari 11.0
iOS 11.0.3 | mobile safari 11.0
chrome 58.0 for android
Mac OS X 10_12_6 | chrome 62.0
Android 6.0.1 | chrome 59.0 for android
iOS 11.2.0 | mobile safari 11.0
Windows 10 | firefox 57.0
Windows Vista | firefox 52.0
Mac OS X 10_12_6 | chrome 61.0
iOS | mobile safari 10.0
Windows 10 | firefox
edge 14.0
Mac OS X 10_13_1 | safari generic
Windows 8.1 | ie 11.0 for desktop
Windows 8.1 | chrome 62.0
iOS 11.0.0 | mobile safari 11.0
iOS 9.3.5 | mobile safari 9.0
Windows XP | firefox 52.0
Android 7.0 | chrome 56.0 for android
Windows 10 | chrome 60.0
chrome 60.0 for android
chrome
ie 11.0 for desktop
Mac | safari generic
Windows 10 | edge 14.0
chrome 55.0 for android
iOS 10.2.0 | mobile safari 10.0
Mac OS X 10_11_6 | chrome 62.0
Windows 7 | firefox 57.0
Windows 10 | edge 15.0
Android 5.0.2 | chrome 61.0 for android
mobile safari 9.0
Android 7.0 | chrome generic
Windows 10 | edge 16.0
Linux | chrome 62.0
Mac OS X 10_7_5 | chrome 49.0
iOS 10.2.1 | mobile safari 10.0
Mac OS X 10_9_5 | chrome 62.0
Windows 10 | ie 11.0 for tablet
Mac OS X 10.12 | firefox 56.0
Android | chrome 62.0 for android
Mac OS X 10.10 | firefox 57.0
Mac OS X 10.13 | firefox 57.0
Windows 7
Android | chrome 62.0
Mac OS X 10_11_3 | safari generic
Android 6.0.1 | chrome 57.0 for android
firefox
Mac OS X 10_12_3 | chrome 62.0
iOS 11.0.1 | mobile safari 11.0
iOS 11.1.1 | mobile safari generic
chrome 59.0 for android
chrome 61.0 for android
firefox 56.0
Android 5.1.1 | chrome generic
safari generic
other
edge 15.0
iOS 11.1.2 | chrome 62.0 for ios
Mac OS X 10_11_5 | safari generic
Mac OS X 10_12_5 | safari generic
chrome 49.0
ie 11.0 for tablet
Android 7.0 | android webview 4.0
Mac OS X 10.9 | firefox 56.0
Windows 7 | chrome 61.0
Windows 8.1 | firefox 57.0
Android 7.0 | chrome 61.0 for android
Android | chrome 61.0
iOS 11.0.1 | mobile safari uiwebview
Mac OS X 10.9 | firefox 57.0
iOS 10.3.3 | mobile safari generic
iOS 10.3.1 | mobile safari 10.0
Mac OS X 10_10_5 | chrome 62.0
ie
Windows 7 | ie
iOS 11.0.2 | mobile safari 11.0
iOS 11.2.0 | mobile safari generic
Samsung/SM-G532M
Mac OS X 10_12_5 | chrome 61.0
Windows 10 | firefox 52.0
iOS | mobile safari 8.0
iOS 10.3.3 | chrome 62.0 for ios
Android 8.0.0
Windows 10 | opera 49.0
Mac OS X 10_9_5 | opera 49.0
chrome 56.0 for android
Windows Vista | opera
Mac OS X 10.12 | firefox 57.0
Linux | chrome 60.0
Mac OS X 10.6 | firefox 48.0
Linux | chrome 61.0
Android 6.0.1 | samsung browser 6.2
Windows 8.1 | chrome 58.0
Windows 7 | firefox
Windows 10 | chrome 61.0
Mac OS X 10_8_5 | chrome 49.0
Android 7.1.1 | chrome 62.0 for android
Windows 8 | chrome 62.0
Mac OS X 10_10_5 | chrome 61.0
iOS 10.2.0 | mobile safari generic
Mac | firefox 48.0
Linux | chrome 56.0
Windows 10 | firefox 48.0
iOS 11.1.0 | mobile safari generic
mobile
iOS 11.0.3 | mobile safari generic
chrome 54.0 for android
Android | chrome 56.0 for android
Mac OS X 10_12 | safari generic
edge 16.0
Mac OS X 10_12_1 | chrome 62.0
iOS | mobile safari generic
Mac OS X 10.11 | firefox 57.0
Windows 10 | firefox 56.0
Android 5.1.1 | chrome 62.0 for android
Windows Vista | ie
chrome 56.0
Mac OS X 10_12_2 | safari generic
Windows 7 | chrome 60.0
Windows 7 | firefox 52.0
Mac OS X 10.11 | firefox 56.0
Windows 7 | chrome 58.0
Android | chrome
chrome 60.0
Windows 10 | edge 13.0
Android 7.0 | samsung browser 5.4
Android 6.0.1 | android webview 4.0
iOS 11.0.2 | mobile safari generic
Mac OS X 10_6_8 | chrome 49.0
Windows 7 | chrome
Android 7.1.1 | chrome generic
Mac OS X 10_8_5 | safari generic
Android 7.0 | Generic/Android 7.0
Mac OS X 10_9_5 | chrome 61.0
chrome 51.0
iOS | mobile safari 9.0
chrome 59.0
Mac OS X 10_11_4 | chrome 62.0
Mac | chrome 62.0
Android 6.0.1 | samsung browser 4.0
Mac OS X 10_12_3 | safari generic
Windows 8.1 | chrome 60.0
